Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Разработка базы данных в Access. Учебное пособие;Волик Мария Владимировна;Прометей:;242;537;–55 %
Основы программирования на языке С. Учебное пособие;Гагарина;ИНФРА-М:Высшее образование. Бакалавриат;1 335;2 967;–55 %
Java. Быстрый старт;Чан Джейми;Питер:Библиотека программиста;967;1 240;–22 %
Python. Быстрый старт;Чан Джейми;Питер:Библиотека программиста;931;1 194;–22 %
C++ для профи;Лоспинозо Джош;Питер:Для профессионалов;2 989;3 832;–22 %
Интеллектуальные информационные системы и методы искусственного интеллекта;Андрейчиков;ИНФРА-М:Высшее образование. Магистратура;2 643;5 873;–55 %
Инструментальные средства разработки программного обеспечения Системы Fossil;Орещенков Игорь Сергеевич;Лань:Компьютеры и программное обеспечение;1 491;3 314;–55 %
Эффективный Java. Тюнинг кода на Java 8, 11 и дальше;Оукс Скотт;Питер:Бестселлеры O`Reilly;3 091;3 963;–22 %
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes;Индрасири;Питер:Бестселлеры O`Reilly;1 634;2 095;–22 %
Python. Сборник упражнений;Стивенсон Бен;ДМК-Пресс:;813;1 806;–55 %
Совершенный алгоритм. Алгоритмы для NP-трудных задач;Рафгарден Тим;Питер:Библиотека программиста;1 731;2 219;–22 %
Стильный Java. Код, который работает всегда и везде;Фаэлла Марко;Питер:Библиотека программиста;2 228;2 856;–22 %
Внедрение зависимостей на платформе .NET;Симан;Питер:Для профессионалов;2 974;3 813;–22 %
Карьера программиста;Лакман Макдауэлл Гейл;Питер:Библиотека программиста;2 026;2 597;–22 %
Глубокое обучение. Легкая разработка проектов на Python;Вейдман Сет;Питер:Бестселлеры O`Reilly;2 660;3 410;–22 %
Паттерны проектирования для C# и платформы .NET Core;Арораа;Питер:Для профессионалов;3 189;4 089;–22 %
Структуры и алгоритмы обработки данных. Учебник для СПО;Павлов;Лань:Компьютеры и программное обеспечение;783;1 739;–55 %
Численные методы и программирование. Учебное пособие для СПО;Слабнов Виктор Дмитриевич;Лань:Компьютеры и программное обеспечение;2 197;4 882;–55 %
Технология разработки программного обеспечения. Учебное пособие для СПО;Зубкова Татьяна Михайловна;Лань:Компьютеры и программное обеспечение;1 320;2 933;–55 %
Изучаем C++ через программирование игр;Доусон Майкл;Питер:;1 300;1 667;–22 %
Совершенный софт. Совершенный софт - совершенная карьера;Леве Джувел;Питер:Для профессионалов;2 030;2 602;–22 %
Spark в действии. С примерами Java, Python и Scala;Перрен Жан-Жорж;ДМК-Пресс:;1 974;4 386;–55 %
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников;Фоукс;ДМК-Пресс:;1 294;2 875;–55 %
Секреты Python Pro;Хиллард Дейн;Питер:Для профессионалов;2 187;2 804;–22 %
Программирование на Python в примерах и задачах;Васильев Алексей Николаевич;Бомбора:Российский компьютерный бестселлер;1 124;1 540;–27 %
Моделирование и оптимизация процессов управления в технологических системах. Учебник;Колтунов;Кнорус:Магистратура;707;1 572;–55 %
Квантовые вычисления. Прикладной подход;Хидари Джек Д.;ДМК-Пресс:;1 161;2 580;–55 %
JavaScript. Полное руководство;Флэнаган Дэвид;Вильямс:;3 858;8 574;–55 %
Проектирование информационных систем. Методы и средства структурно-функционального проектирования;Гвоздева;Лань:Компьютеры и программное обеспечение;712;1 582;–55 %
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО;Симонова Елена Витальевна;Лань:Компьютеры и программное обеспечение;839;1 864;–55 %
Проектирование информационных систем. Стандартизация, техническое документирование информ. систем;Гвоздева;Лань:Компьютеры и программное обеспечение;935;2 077;–55 %
Системы отображения информации. Дискретные индикаторы. Учебник для вузов;Смирнов Виктор Михайлович;Лань:Компьютеры и программное обеспечение;1 453;3 228;–55 %
Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО;Журавлев Антон Евгеньевич;Лань:Компьютеры и программное обеспечение;1 222;2 716;–55 %
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов;Кудинов;Лань:Компьютеры и программное обеспечение;1 320;2 933;–55 %
Мультимедийные технологии. Учебник для СПО;Катунин Геннадий Павлович;Лань:Компьютеры и программное обеспечение;1 991;4 425;–55 %
JavaScript для профессиональных веб-разработчиков;Фрисби Мэтт;Питер:Для профессионалов;3 309;4 242;–22 %
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений;Антонопулос;Бомбора:Мировой компьютерный бестселлер;2 078;2 846;–27 %
SQL за 10 минут;Форта Бен;Вильямс:;1 286;2 858;–55 %
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений;Лащевски;Питер:Библиотека программиста;1 487;1 907;–22 %
