Название книги;Автор книги;Издатель книги;Цена со скидкой;Цена без скидки;Скидка
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1;Кнут Дональд Эрвин;Вильямс:;4 666;10 368;–55 %
Практика программирования;Керниган;Вильямс:;1 789;3 976;–55 %
Введение в системы баз данных;Дейт К. Дж.;Диалектика:;4 968;11 040;–55 %
Эволюционная архитектура. Поддержка непрерывных изменений;Форд;Питер:Бестселлеры O`Reilly;1 210;1 551;–22 %
Unity в действии. Мультиплатформенная разработка на C#;Хокинг Джозеф;Питер:Для профессионалов;1 364;1 749;–22 %
Решение задач на современном C++;Бансила Мариус;ДМК-Пресс:;1 035;2 301;–55 %
Философия Java;Эккель Брюс;Питер:Классика computer science;2 531;3 245;–22 %
Python для сложных задач. Наука о данных и машинное обучение;Плас Дж. Вандер;Питер:Бестселлеры O`Reilly;1 892;2 425;–22 %
Разработка программных приложений в среде BlackBox. Учебное пособие;Болотнов Анатолий Миронович;Лань:Учебники для вузов. Специальная литература;720;1 601;–55 %
Технологии интеллектуального анализа данных. Учебное пособие;Макшанов;Лань:Учебники для вузов. Специальная литература;949;2 109;–55 %
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере;О`Двайр Артур;ДМК-Пресс:;1 277;2 837;–55 %
Язык программирования C;Керниган;Вильямс:;1 400;3 112;–55 %
Построение систем машинного обучения на языке Python;Коэльо;ДМК-Пресс:;906;2 013;–55 %
Head First. Паттерны проектирования. Обновленное юбилейное издание;Фримен;Питер:Head First (O'Reilly);1 799;2 306;–22 %
C# для профессионалов. Тонкости программирования;Скит Джон;Вильямс:;3 858;8 574;–55 %
Python. Карманный справочник;Лутц Марк;Диалектика:;1 030;2 288;–55 %
Искусство программирования. Том 1. Основные алгоритмы;Кнут Дональд Эрвин;Вильямс:;4 544;10 097;–55 %
Язык программирования C. Лекции и упражнения;Прата Стивен;Диалектика:;4 544;10 097;–55 %
C# 4.0. Полное руководство;Шилдт Герберт;Диалектика:;2 955;6 567;–55 %
Реализация методов предметно-ориентированного проектирования;Вернон Вон;Диалектика:;3 500;7 778;–55 %
Веб-программирование для чайников;Никхил Абрахам;"Диалектика:Для ""чайников""";1 544;3 431;–55 %
Язык программирования Go;Керниган;Диалектика:;1 972;4 383;–55 %
Angular. Сборник рецептов;Фрисби Мэтт;Вильямс:;1 286;2 858;–55 %
Java. Полное руководство;Шилдт Герберт;Вильямс:;4 715;10 478;–55 %
Компиляторы. Краткий справочник;Хантер Робин;Вильямс:;772;1 715;–55 %
Java Persistence API и Hibernate;Бауэр;ДМК-Пресс:;1 277;2 837;–55 %
Байесовские модели. Байесовская статистика на языке Python;Дауни Аллен Б.;ДМК-Пресс:;813;1 806;–55 %
Разработка чат-ботов и разговорных интерфейсов;Джанарсанам Срини;ДМК-Пресс:;929;2 064;–55 %
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание;Рихтер Джеффри;Питер:Мастер-класс;2 157;2 766;–22 %
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих;Бхаргава Адитья;Питер:Библиотека программиста;945;1 211;–22 %
Стандартная библиотека Python 3. Справочник с примерами;Хеллман Даг;Диалектика:;4 715;10 478;–55 %
Олимпиадное программирование;Лааксонен Антти;ДМК-Пресс:;900;2 000;–55 %
Язык декларативного программирования XAML;Подбельский Вадим Валерьевич;ДМК-Пресс:;970;2 155;–55 %
Математика на Python. Часть 1. Элементы линейной алгебры;Александрова;Прометей:;242;537;–55 %
Облачные технологии поддержки решения задач анализа безубыточности. Монография;Смирнов Денис Евгеньевич;Прометей:;268;596;–55 %
Программист-фанатик;Фаулер Чед;Питер:Библиотека программиста;687;881;–22 %
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов;Прайс Марк Дж.;Питер:Библиотека программиста;2 025;2 596;–22 %
Компьютерные вирусы и антивирусы: взгляд программиста;Климентьев Константин Евгеньевич;ДМК-Пресс:Профессиональное программирование;1 035;2 301;–55 %
Прикладное программирование. Учебное пособие;Никифоров Сергей Николаевич;Лань:Учебники для вузов. Специальная литература;621;1 381;–55 %
Программирование на C# для начинающих. Основные сведения;Васильев Алексей Николаевич;Бомбора:Российский компьютерный бестселлер;1 124;1 540;–27 %
Алгоритмы для чайников;Массарон;"Диалектика:Для ""чайников""";1 544;3 431;–55 %
Хакинг. Искусство эксплойта;Эриксон Джон;Питер:;1 810;2 321;–22 %
Глубокое обучение на Python;Шолле Франсуа;Питер:Библиотека программиста;1 612;2 067;–22 %
C# 7.0. Справочник. Полное описание языка;Албахари;Диалектика:;3 258;7 240;–55 %
Java SE 9. Базовый курс;Хорстманн Кей С.;Диалектика:;2 955;6 567;–55 %
LabVIEW в научных исследованиях;Евдокимов;ДМК-Пресс:Все о LabVIEW;970;2 155;–55 %
Python. Разработка на основе тестирования;Персиваль Гарри;ДМК-Пресс:;1 974;4 386;–55 %
Чистый код. Создание, анализ и рефакторинг;Мартин Роберт С.;Питер:;824;1 056;–22 %
Разработка одностраничных веб-приложений;Миковски;ДМК-Пресс:;929;2 064;–55 %
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику;Феррейра Фило Владстон;Питер:Библиотека программиста;853;1 094;–22 %
Программирование искусственного интеллекта в приложениях;Джонс М. Тим;ДМК-Пресс:Для программистов;580;1 289;–55 %
Программирование на Ардуино. От простого к сложному;Мамичев Дмитрий Иванович;Солон-пресс:Радиоэлектроника;583;1 296;–55 %
Запускаем Ansible;Хохштейн;ДМК-Пресс:;1 422;3 161;–55 %
Современный Java. Рецепты программирования;Коузен Кен;ДМК-Пресс:;929;2 064;–55 %
Сам себе программист. Как научиться программировать и устроиться в Ebay?;Альтхофф Кори;Бомбора:Мировой компьютерный бестселлер;734;1 006;–27 %
Программное обеспечение геодезии, фотограм, кадастра, инж.из.;Браверман Борис Аронович;Инфра-Инженерия:;715;1 589;–55 %
Собираем устройства для тестов на проникновение;Бирюков Андрей Александрович;ДМК-Пресс:;870;1 934;–55 %
Java. Карманный справочник;Лигуори;Вильямс:;1 166;2 592;–55 %
Чистая архитектура. Искусство разработки программного обеспечения;Мартин Роберт С.;Питер:Библиотека программиста;1 023;1 311;–22 %
Swift. Основы разработки приложений под iOS и macOS;Усов Василий;Питер:;831;1 065;–22 %
Объектно Ориентированное Программирование;Гаско Рик;Солон-пресс:Программирование;855;1 901;–55 %
Простая Математика для Простых Программистов;Гаско Рик;Солон-пресс:Программирование;691;1 535;–55 %
Простой учебник программирования;Гаско Рик;Солон-пресс:Программирование;635;1 411;–55 %
Потоковая обработка данных. Конвейер реального времени;Пселтис Эндрю Дж.;ДМК-Пресс:;870;1 934;–55 %
Java для чайников;Берд Барри;"Диалектика:Для ""чайников""";1 789;3 976;–55 %
Психбольница в руках пациентов. Алан Купер об интерфейсах;Купер Алан;Питер:Библиотека программиста;1 401;1 796;–22 %
Высоконагруженные приложения. Программирование, масштабирование, поддержка;Клеппман Мартин;Питер:Бестселлеры O`Reilly;2 716;3 482;–22 %
Глубокое обучение с точки зрения практика;Паттерсон;ДМК-Пресс:;1 509;3 354;–55 %
Думай как программист. Креативный подход к созданию кода. C++ версия;Спрол Антон;Бомбора:Мировой компьютерный бестселлер;777;1 064;–27 %
Релевантный поиск с использованием Elasticsearch и Solr;Тарнбулл;ДМК-Пресс:;1 422;3 161;–55 %
Программирование на языке Rust. Цветное издание;Блэнди;ДМК-Пресс:;1 974;4 386;–55 %
Алгоритмы для начинающих. Теория и практика для разработчика;Луридас Панос;Бомбора:Мировой компьютерный бестселлер;1 219;1 670;–27 %
Язык С в XXI веке;Клеменс Бен;ДМК-Пресс:;1 229;2 730;–55 %
Android. Сборник рецептов. Задачи и решения для разработчиков приложений;Дарвин Ян Ф.;Диалектика:;2 955;6 567;–55 %
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105;Одом Уэнделл;Вильямс:;6 210;13 800;–55 %
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров;Абельская Раиса Шолемовна;Флинта:;183;407;–55 %
Анализ социальных медиа на Python;Бонцанини Марко;ДМК-Пресс:;1 035;2 301;–55 %
Глубокое обучение (цветная);Бенджио;ДМК-Пресс:;2 322;5 159;–55 %
Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD);Сизиков Валерий Сергеевич;Лань:Учебники для вузов. Специальная литература;1 811;4 024;–55 %
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ;Атенсио Луис;Вильямс:;2 334;5 186;–55 %
Разработка операционной системы и компилятора. Проект Оберон;Вирт;ДМК-Пресс:Классика программирования;1 035;2 301;–55 %
CodeVisionAVR. Пособие для начинающих;Лебедев Михаил Борисович;ДМК-Пресс:Программируемые системы;813;1 806;–55 %
Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET;Ховард;ДМК-Пресс:;646;1 436;–55 %
Scala. Профессиональное программирование;Одерски;Питер:Библиотека программиста;2 363;3 029;–22 %
Искусство алгоритмизации;Потопахин Виталий Валерьевич;ДМК-Пресс:;638;1 417;–55 %
Java 9. Полный обзор нововведений;Кишори Шаран;ДМК-Пресс:Программирование;1 294;2 875;–55 %
Kotlin в действии;Жемеров;ДМК-Пресс:;1 161;2 580;–55 %
Конкурентное программирование на Scala;Прокопец Александр;ДМК-Пресс:;1 099;2 443;–55 %
Крупномасштабное машинное обучение вместе с Python;Шарден;ДМК-Пресс:;929;2 064;–55 %
Пользовательские истории. Гибкая разработка программного обеспечения;Кон Майк;Диалектика:;2 334;5 186;–55 %
Архитектура компьютера;Таненбаум;Питер:Классика computer science;2 028;2 600;–22 %
Java. Руководство для начинающих;Шилдт Герберт;Диалектика:;2 955;6 567;–55 %
Алгоритмы. Построение и анализ;Кормен;Диалектика:;7 453;16 562;–55 %
Изучай Erlang во имя добра!;Хеберт Фред;ДМК-Пресс:;1 044;2 321;–55 %
Программируй на Haskell;Курт Уилл;ДМК-Пресс:Функциональное программирование;1 811;4 024;–55 %
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник";Дадян Эдуард Григорьевич;ИНФРА-М:Высшее образование. Магистратура;2 144;4 765;–55 %
Алгоритмы на C++;Седжвик Роберт;Вильямс:;4 666;10 368;–55 %
Python. Справочник. Полное описание языка;Мартелли;Диалектика:;3 258;7 240;–55 %
Теоретический минимум по Big Data. Всё что нужно знать о больших данных;Ын;Питер:Библиотека программиста;898;1 151;–22 %
Основы программирования на языке Python;Златопольский Дмитрий Михайлович;ДМК-Пресс:;696;1 547;–55 %
Методы научных исследований в программной инженерии;Пантелеев Евгений Рафаилович;Лань:Учебники для вузов. Специальная литература;556;1 236;–55 %
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие;Симонова Елена Витальевна;Лань:Учебники для вузов. Специальная литература;725;1 612;–55 %
Программируем на Python;Доусон Майкл;Питер:;1 258;1 613;–22 %
HTML5. Карманный справочник;Роббинс Дженнифер;Вильямс:;1 030;2 288;–55 %
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1;Кнут Дональд Эрвин;Вильямс:;4 666;10 368;–55 %
Практика программирования;Керниган;Вильямс:;1 789;3 976;–55 %
Введение в системы баз данных;Дейт К. Дж.;Диалектика:;4 968;11 040;–55 %
Эволюционная архитектура. Поддержка непрерывных изменений;Форд;Питер:Бестселлеры O`Reilly;1 210;1 551;–22 %
Unity в действии. Мультиплатформенная разработка на C#;Хокинг Джозеф;Питер:Для профессионалов;1 364;1 749;–22 %
Решение задач на современном C++;Бансила Мариус;ДМК-Пресс:;1 035;2 301;–55 %
Философия Java;Эккель Брюс;Питер:Классика computer science;2 531;3 245;–22 %
Python для сложных задач. Наука о данных и машинное обучение;Плас Дж. Вандер;Питер:Бестселлеры O`Reilly;1 892;2 425;–22 %
Разработка программных приложений в среде BlackBox. Учебное пособие;Болотнов Анатолий Миронович;Лань:Учебники для вузов. Специальная литература;720;1 601;–55 %
Технологии интеллектуального анализа данных. Учебное пособие;Макшанов;Лань:Учебники для вузов. Специальная литература;949;2 109;–55 %
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере;О`Двайр Артур;ДМК-Пресс:;1 277;2 837;–55 %
Язык программирования C;Керниган;Вильямс:;1 400;3 112;–55 %
Построение систем машинного обучения на языке Python;Коэльо;ДМК-Пресс:;906;2 013;–55 %
Head First. Паттерны проектирования. Обновленное юбилейное издание;Фримен;Питер:Head First (O'Reilly);1 799;2 306;–22 %
C# для профессионалов. Тонкости программирования;Скит Джон;Вильямс:;3 858;8 574;–55 %
Python. Карманный справочник;Лутц Марк;Диалектика:;1 030;2 288;–55 %
Искусство программирования. Том 1. Основные алгоритмы;Кнут Дональд Эрвин;Вильямс:;4 544;10 097;–55 %
Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений;Хоп;Диалектика:;4 544;10 097;–55 %
Язык программирования C. Лекции и упражнения;Прата Стивен;Диалектика:;4 544;10 097;–55 %
C# 4.0. Полное руководство;Шилдт Герберт;Диалектика:;2 955;6 567;–55 %
Реализация методов предметно-ориентированного проектирования;Вернон Вон;Диалектика:;3 500;7 778;–55 %
Веб-программирование для чайников;Никхил Абрахам;"Диалектика:Для ""чайников""";1 544;3 431;–55 %
Язык программирования Go;Керниган;Диалектика:;1 972;4 383;–55 %
Angular. Сборник рецептов;Фрисби Мэтт;Вильямс:;1 286;2 858;–55 %
Java. Полное руководство;Шилдт Герберт;Вильямс:;4 715;10 478;–55 %
Компиляторы. Краткий справочник;Хантер Робин;Вильямс:;772;1 715;–55 %
Шаблоны C++. Справочник разработчика;Вандевурд;Диалектика:;3 258;7 240;–55 %
Java Persistence API и Hibernate;Бауэр;ДМК-Пресс:;1 277;2 837;–55 %
Байесовские модели. Байесовская статистика на языке Python;Дауни Аллен Б.;ДМК-Пресс:;813;1 806;–55 %
Разработка чат-ботов и разговорных интерфейсов;Джанарсанам Срини;ДМК-Пресс:;929;2 064;–55 %
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание;Рихтер Джеффри;Питер:Мастер-класс;2 157;2 766;–22 %
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих;Бхаргава Адитья;Питер:Библиотека программиста;945;1 211;–22 %
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных;Льюис Джонатан;ДМК-Пресс:;1 103;2 450;–55 %
Идеальный программист. Как стать профессионалом разработки ПО;Мартин Роберт С.;Питер:;752;964;–22 %
Apache Kafka. Потоковая обработка и анализ данных;Нархид;Питер:Бестселлеры O`Reilly;1 594;2 043;–22 %
Site Reliability Engineering. Надежность и безотказность как в Google;Бейер;Питер:Бестселлеры O`Reilly;2 179;2 793;–22 %
Akka в действии;Рестенбург;ДМК-Пресс:;1 161;2 580;–55 %
Искусство создания сценариев в Unity;Торн Алан;ДМК-Пресс:;929;2 064;–55 %
Основы работы с технологией CUDA;Боресков;ДМК-Пресс:;466;1 035;–55 %
WebGL. Программирование трехмерной графики;Мацуда;ДМК-Пресс:;929;2 064;–55 %
Чистый Python. Тонкости программирования для профи;Бейдер Дэн;Питер:Библиотека программиста;1 419;1 819;–22 %
Введение в распределенное моделирование в среде NetLogo;Ершов Николай Михайлович;ДМК-Пресс:;1 164;2 587;–55 %
Искусственный интеллект .NET. Речь, язык и поиск;Патак;ДМК-Пресс:;1 035;2 301;–55 %
Элегантный SciPy;Нуньес-Иглесиас;ДМК-Пресс:;1 103;2 450;–55 %
